bpmnElementType,bpmnProcessId,completed,created,duration,elementId,endPosition,ended,flowScopeKey,key,partition,startPosition,version,workflowInstanceKey,workflowKey
START_EVENT,process,true,1551053977338,0,StartEvent_1,4295237496,1551053977338,408,409,0,4295236728,1,408,1
START_EVENT,process,true,1551053977344,-1,StartEvent_1,4295240704,1551053977343,413,414,0,4295239936,1,413,1
START_EVENT,process,true,1551053977349,1,StartEvent_1,4295243912,1551053977350,418,419,0,4295243144,1,418,1
START_EVENT,process,true,1551053977355,1,StartEvent_1,4295247120,1551053977356,423,424,0,4295246352,1,423,1
START_EVENT,process,true,1551053977363,0,StartEvent_1,4295250328,1551053977363,428,429,0,4295249560,1,428,1
START_EVENT,process,true,1551053977370,1,StartEvent_1,4295253536,1551053977371,433,434,0,4295252768,1,433,1
START_EVENT,process,true,1551053977376,1,StartEvent_1,4295256744,1551053977377,438,439,0,4295255976,1,438,1
START_EVENT,process,true,1551053977382,2,StartEvent_1,4295259952,1551053977384,443,444,0,4295259184,1,443,1
START_EVENT,process,true,1551053977389,0,StartEvent_1,4295263160,1551053977389,448,449,0,4295262392,1,448,1
START_EVENT,process,true,1551053977394,0,StartEvent_1,4295266368,1551053977394,453,454,0,4295265600,1,453,1
START_EVENT,process,true,1551053977400,1,StartEvent_1,4295269576,1551053977401,458,459,0,4295268808,1,458,1
START_EVENT,process,true,1551053977407,1,StartEvent_1,4295272784,1551053977408,463,464,0,4295272016,1,463,1
START_EVENT,process,true,1551053977414,1,StartEvent_1,4295275992,1551053977415,468,469,0,4295275224,1,468,1
START_EVENT,process,true,1551053977421,0,StartEvent_1,4295279200,1551053977421,473,474,0,4295278432,1,473,1
START_EVENT,process,true,1551053977427,1,StartEvent_1,4295282408,1551053977428,478,479,0,4295281640,1,478,1
START_EVENT,process,true,1551053977433,0,StartEvent_1,4295285616,1551053977433,483,484,0,4295284848,1,483,1
START_EVENT,process,true,1551053977437,1,StartEvent_1,4295288824,1551053977438,488,489,0,4295288056,1,488,1
START_EVENT,process,true,1551053977444,1,StartEvent_1,4295292032,1551053977445,493,494,0,4295291264,1,493,1
START_EVENT,process,true,1551053977451,0,StartEvent_1,4295295240,1551053977451,498,499,0,4295294472,1,498,1
START_EVENT,process,true,1551053977457,0,StartEvent_1,4295298448,1551053977457,503,504,0,4295297680,1,503,1
START_EVENT,process,true,1551053977463,1,StartEvent_1,4295301656,1551053977464,508,509,0,4295300888,1,508,1
START_EVENT,process,true,1551053977469,1,StartEvent_1,4295304864,1551053977470,513,514,0,4295304096,1,513,1
START_EVENT,process,true,1551053977475,1,StartEvent_1,4295308072,1551053977476,518,519,0,4295307304,1,518,1
START_EVENT,process,true,1551053977482,0,StartEvent_1,4295311280,1551053977482,523,524,0,4295310512,1,523,1
START_EVENT,process,true,1551053977486,1,StartEvent_1,4295314488,1551053977487,528,529,0,4295313720,1,528,1
START_EVENT,process,true,1551053977494,0,StartEvent_1,4295317696,1551053977494,533,534,0,4295316928,1,533,1
START_EVENT,process,true,1551053977502,0,StartEvent_1,4295320904,1551053977502,538,539,0,4295320136,1,538,1
START_EVENT,process,true,1551053977507,0,StartEvent_1,4295324112,1551053977507,543,544,0,4295323344,1,543,1
START_EVENT,process,true,1551053977513,0,StartEvent_1,4295327320,1551053977513,548,549,0,4295326552,1,548,1
START_EVENT,process,true,1551053977520,0,StartEvent_1,4295330528,1551053977520,553,554,0,4295329760,1,553,1
START_EVENT,process,true,1551053977525,0,StartEvent_1,4295333736,1551053977525,558,559,0,4295332968,1,558,1
START_EVENT,process,true,1551053977531,0,StartEvent_1,4295336944,1551053977531,563,564,0,4295336176,1,563,1
START_EVENT,process,true,1551053977538,0,StartEvent_1,4295340152,1551053977538,568,569,0,4295339384,1,568,1
START_EVENT,process,true,1551053977543,0,StartEvent_1,4295343360,1551053977543,573,574,0,4295342592,1,573,1
START_EVENT,process,true,1551053977549,1,StartEvent_1,4295346568,1551053977550,578,579,0,4295345800,1,578,1
START_EVENT,process,true,1551053977556,1,StartEvent_1,4295349776,1551053977557,583,584,0,4295349008,1,583,1
START_EVENT,process,true,1551053977563,0,StartEvent_1,4295352984,1551053977563,588,589,0,4295352216,1,588,1
START_EVENT,process,true,1551053977569,0,StartEvent_1,4295356192,1551053977569,593,594,0,4295355424,1,593,1
START_EVENT,process,true,1551053977577,0,StartEvent_1,4295359400,1551053977577,598,599,0,4295358632,1,598,1
START_EVENT,process,true,1551053977584,1,StartEvent_1,4295362608,1551053977585,603,604,0,4295361840,1,603,1
START_EVENT,process,true,1551053977591,0,StartEvent_1,4295365816,1551053977591,608,609,0,4295365048,1,608,1
START_EVENT,process,true,1551053977597,0,StartEvent_1,4295369024,1551053977597,613,614,0,4295368256,1,613,1
START_EVENT,process,true,1551053977603,1,StartEvent_1,4295372232,1551053977604,618,619,0,4295371464,1,618,1
START_EVENT,process,true,1551053977609,0,StartEvent_1,4295375440,1551053977609,623,624,0,4295374672,1,623,1
START_EVENT,process,true,1551053977615,0,StartEvent_1,4295378648,1551053977615,628,629,0,4295377880,1,628,1
START_EVENT,process,true,1551053977620,1,StartEvent_1,4295381856,1551053977621,633,634,0,4295381088,1,633,1
START_EVENT,process,true,1551053977629,1,StartEvent_1,4295385064,1551053977630,638,639,0,4295384296,1,638,1
START_EVENT,process,true,1551053977641,2,StartEvent_1,4295388272,1551053977643,643,644,0,4295387504,1,643,1
START_EVENT,process,true,1551053977648,1,StartEvent_1,4295391480,1551053977649,648,649,0,4295390712,1,648,1
START_EVENT,process,true,1551053977657,0,StartEvent_1,4295394688,1551053977657,653,654,0,4295393920,1,653,1
START_EVENT,process,true,1551053977663,1,StartEvent_1,4295397896,1551053977664,658,659,0,4295397128,1,658,1
START_EVENT,process,true,1551053977670,0,StartEvent_1,4295401104,1551053977670,663,664,0,4295400336,1,663,1
START_EVENT,process,true,1551053977677,1,StartEvent_1,4295404312,1551053977678,668,669,0,4295403544,1,668,1
START_EVENT,process,true,1551053977683,0,StartEvent_1,4295407520,1551053977683,673,674,0,4295406752,1,673,1
START_EVENT,process,true,1551053977689,1,StartEvent_1,4295410728,1551053977690,678,679,0,4295409960,1,678,1
START_EVENT,process,true,1551053977696,0,StartEvent_1,4295413936,1551053977696,683,684,0,4295413168,1,683,1
START_EVENT,process,true,1551053977701,0,StartEvent_1,4295417144,1551053977701,688,689,0,4295416376,1,688,1
START_EVENT,process,true,1551053977706,0,StartEvent_1,4295420352,1551053977706,693,694,0,4295419584,1,693,1
START_EVENT,process,true,1551053977712,0,StartEvent_1,4295423560,1551053977712,698,699,0,4295422792,1,698,1
START_EVENT,process,true,1551053977717,1,StartEvent_1,4295426768,1551053977718,703,704,0,4295426000,1,703,1
START_EVENT,process,true,1551053977723,0,StartEvent_1,4295429976,1551053977723,708,709,0,4295429208,1,708,1
START_EVENT,process,true,1551053977731,0,StartEvent_1,4295433184,1551053977731,713,714,0,4295432416,1,713,1
START_EVENT,process,true,1551053977737,0,StartEvent_1,4295436392,1551053977737,718,719,0,4295435624,1,718,1
START_EVENT,process,true,1551053977743,0,StartEvent_1,4295439600,1551053977743,723,724,0,4295438832,1,723,1
START_EVENT,process,true,1551053977749,0,StartEvent_1,4295442808,1551053977749,728,729,0,4295442040,1,728,1
